"Lenguajes propietarios / CRM / ERP / Grandes plataformas","ABAP (SAP)","SAP NetWeaver; SAPUI5; NW ABAP"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","LabVIEW","Entorno LabVIEW; NI Toolkits"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","Wolfram Language","Wolfram Cloud; WolframAlpha API; Wolfram Engine"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","ActionScript","Adobe Flex; Robotlegs; Starling"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","MQL4/MQL5","MetaTrader (Expert Advisors)"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","PeopleCode","PeopleSoft (Oracle)"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","Visual FoxPro","N/A (entorno propio)"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","PL/SQL","Oracle APEX; Oracle Forms"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","T-SQL","N/A (SQL Server scripts/SPs)"
"Imperativos / Históricos (adicionales)","COBOL","IBM Enterprise COBOL; Micro Focus COBOL"
"Imperativos / Históricos (adicionales)","Ada","GNAT libs; AdaCore frameworks"
"Imperativos / Históricos (adicionales)","Pascal","Delphi; Free Pascal libs"
"Imperativos / Históricos (adicionales)","Fortran","LAPACK; BLAS; MKL; NAG libs"
"Imperativos / Históricos (adicionales)","BASIC","GW-BASIC; QBASIC; VB.NET (modern); FreeBASIC (alternativa open-source)"
"Imperativos / Históricos (adicionales)","Forth","gforth libs; polyForth; SwiftForth"
"Esotéricos","Brainfuck","N/A"
"Esotéricos","INTERCAL","N/A"
"Esotéricos","Malbolge","N/A"
"Esotéricos","Piet","N/A"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Arch / CAD / BIM","Autodesk Revit (Dynamo DSL); Grasshopper (Rhino); GDL (ArchiCAD); SketchUp Ruby API"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Aeroespacial","OpenMDAO (Python NASA); SU2 (C++/Python CFD); GMAT (NASA); FreeFlyer"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Partículas / Física","ROOT (CERN, C++); Geant4; FLUKA; Garfield; Mad-X; CMSSW (CERN, C++/Python)"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Medicina / Imagen Médica","ITK (C++); VTK; 3D Slicer (C++/Python); SimpleITK; dcm4che (Java); Nipype (Python); medPy"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Bioinformática / Pharma","SAS; R (Bioconductor); Python (BioPython, rdkit, PyMol APIs); Julia (BioJulia); Perl (BioPerl); Nextflow; Snakemake"
"Scripting / Admin de Sistemas","Bash","Shell scripting (GNU/Linux, Unix)"
"Scripting / Admin de Sistemas","Zsh","Shell scripting; oh-my-zsh"
"Scripting / Admin de Sistemas","ksh (KornShell)","Shell scripting (histórico en Unix)"
"Scripting / Admin de Sistemas","tcsh / csh","Shell scripting (C-like syntax, histórico)"
"Scripting / Admin de Sistemas","Fish Shell","Shell interactivo friendly"
"Scripting / Admin de Sistemas","PowerShell","PSFramework; DSC; Pester"
"Scripting / Admin de Sistemas","Cmd (Windows)","Batch scripting (histórico, .bat/.cmd)"
"Scripting / Admin de Sistemas","Google Apps Script","Scripting Google Workspace, basado en JavaScript"
"Scripting / Admin de Sistemas","AutoHotkey (Windows)","Automatización de escritorio, macros"
"Scripting / Admin de Sistemas","Expect","Scripting interactivo (autom. en terminales)"
"DevOps / Infra as Code / Config Management","Docker","Dockerfile; Docker Compose"
"DevOps / Infra as Code / Config Management","Kubernetes","Helm; Kustomize"
"DevOps / Infra as Code / Config Management","Terraform","HashiCorp Terraform (HCL)"
"DevOps / Infra as Code / Config Management","Ansible","Playbooks (YAML); Galaxy"
"DevOps / Infra as Code / Config Management","Chef","Cookbooks; Recipes"
"DevOps / Infra as Code / Config Management","Puppet","Manifests; Modules"
"DevOps / Infra as Code / Config Management","SaltStack","States; Pillars; Salt Cloud"
"DevOps / Infra as Code / Config Management","Vagrant","Provisionamiento dev (Vagrantfiles)"
"CI/CD / Automation Tools","Jenkins","Jenkinsfile; Plugins"
"CI/CD / Automation Tools","GitLab CI/CD",".gitlab-ci.yml"
"CI/CD / Automation Tools","GitHub Actions","Workflows (.yml); Marketplace actions"
"CI/CD / Automation Tools","CircleCI","config.yml"
"CI/CD / Automation Tools","Travis CI",".travis.yml"
"CI/CD / Automation Tools","Azure DevOps Pipelines","YAML pipelines; Classic UI"
"CI/CD / Automation Tools","Argo","Argo Workflows; Argo CD"
"CI/CD / Automation Tools","Tekton","Tekton Pipelines"
"Terminales (Clásicos / Emuladores) / TUI","VT100 / ANSI / XTerm","N/A (protocolos / secuencias ESC)"
"Terminales (Clásicos / Emuladores) / TUI","GNU Screen","Multiplexación de terminal"
"Terminales (Clásicos / Emuladores) / TUI","tmux","Multiplexador de terminal"
"Terminales (Clásicos / Emuladores) / TUI","ncurses","Biblioteca para UIs en terminal (C/C++)"
"Terminales (Clásicos / Emuladores) / TUI","whiptail / dialog","Interfaces de menú en shell"
"Terminales (Clásicos / Emuladores) / TUI","ConEmu / cmder (Win)","Emuladores de terminal Windows"
"Terminales (Clásicos / Emuladores) / TUI","iTerm2 (macOS)","Terminal avanzado macOS"
"Terminales (Clásicos / Emuladores) / TUI","rxvt / urxvt","Terminal ligero en X11"
"Terminales (Clásicos / Emuladores) / TUI","AppleScript","Scripting en macOS (Automator)"
"Terminales (Clásicos / Emuladores) / TUI","FreeDOS / 4DOS","DOS OS/terminal alternativos" 
